,职位,公司,工作地点,薪资,发布时间,工作经验,学历,职位详细要求
0,核心业务部门_Java工程师,北京思特奇信息技术股份有限公司黑龙江分公司,哈尔滨,5-8千/月,04-21,  2年经验  ,  本科  ,"职位信息


1、参与java/j2ee技术的相关产品设计、开发、测试等产品研发工作；2、参与软件工程文档、产品文档编写，满足质量要求；3、参与各省新需求分析及新需求开发。任职要求：1、国家正规院校大学本科或以上学历，计算机或相关专业毕业；2、1年以上java/j2ee开发经验，有电信行业经验开发经验者优先；3、熟悉spring，struts和hibernate等主流的开发框架，熟悉jsp/servlet/javascript等web开发技术；4、熟练掌握数据库oracle、sybase、sqlserver中至少一种，能够熟练进行编程。5、熟练使用unix、linux，能进行shell编程；6、熟悉软件技术文档的编写，具备良好的文档编制习惯和代码书写规范；7、具有强烈的工作责任心、有良好的沟通能力和团队合作精神、承压能力；8、学习能力强，拥有优秀的逻辑思维能力与自我管理能力。本职位同期在：东北区区域（哈尔滨、长春）城市招聘，如您考虑在以上城市工作，请在投递简历时标注期望的工作地点。


职能类别：

										软件工程师									



微信分享







联系方式



上班地址：南岗区汉水路277号中融国际大厦四层							
地图





公司信息


						我们低调又勤勉1995年，崭新的思特奇带着一份初心上路；20多年来，思特奇心无旁骛、专心、专注只做一件事，并正将这份事业做到卓越――“专注ict技术，做全球化软件产品和服务企业，成为行业的权威和领导！作为一家拥有近三千名员工的上市企业，我们已成为中国移动、中国电信、中国联通... ...最为紧密的合作伙伴之一，行业排名位居前三，市场份额占至国内市场的三分之一，并仍谦虚低调、踏实勤勉，向全球化高速前行。我们专注又创新相比于很多没有或仅有少量技术成果的企业，思特奇已拥有超过100个软件著作权；发明专利申报量也在以每年约100个的数量递增；平均每年将营业额的15%用于科技开发与创新研究。对，你没有听错，这是一份我们对技术的专注与崇高敬意！从立足boss厂家到发展独立的云和大数据服务商；从it集成商到云、大数据、万物互联智慧运营时代技术/产品/服务/运营的可信赖专家。“变”是唯一不变的主题，“变”却不忘专注与匠心。携手创新、敏捷，带上青春与活力，我们是走在时代前端的思特奇。我们智能享信赖b2b2c平台、emobile-paas平台产品、paas产品、移动应用开发平台、易体验平台... ...没有听过这些走在行业前沿的产品？没关系，那你一定听过：中国移动积分商城大项目：1、联通国际业务支撑系统：思特奇五大优势助力联通国际实现全球一体化业务管理支持！（优势：业务理解深入；产品成熟稳定；技术先进，架构领先；项目管控有保障；人员配备完善）2、paas平台产品：清晰定位云、大数据，万物互联智慧运营时代的独立paas供应商！为运营商提供分布式内存数据库、全局文件系统、应用标准化框架等paas系列产品！3、？总部移动商城：持续为客户创造价值，口碑良好！4、enterprise？platform ：？？企业平台框架，进行企业门户入口的统一规划，构建移动化、社交化、应用化、个性化的领先企业运营和服务支撑体系。（查阅公司官网：http://www.si-tech.com.cn，获取更多信息）空口无凭，最好的成绩单，来源于客户的信赖，让我们成为行业弄潮儿。我们乐享真文化创办思特奇，最初并不只为了成立一家赚钱的公司，是为了完成使命――用创新的理念、独特的方法、有机的组织，打造东方文化背景下，提供一流软件产品和优质服务的现代化企业。那么多辛苦奋战的时刻，也无法让我们丢掉快乐；始终乐于此地开放、透明、无等级的沟通、无障碍的交流。思特奇的每个工程师都在为数以亿计的用户服务，在这里的意义，绝不仅仅是一份工作。每一位思特奇人坚信并传承着我们的“思特奇范儿”：追求卓越、否定自我、客观公正、正直诚实、坚持不懈、不断进步。我们“傲娇”是因为我们奉行不变的成功秘诀：学习、思考、创新、行动？、改进、成功。如果你会爱上一种文化，那一定来自思特奇。我们感恩有初心20多年的历练，抹不去一颗赤子之心。拾忆思特奇上市荣耀时刻，我们选择了思特奇员工家属、技术精英代表、政府领导、客户作为特邀嘉宾，只因我们感恩全体员工不懈拼搏、感恩员工家属们的关怀、感恩政府支持、感恩客户信赖，更感谢国家繁荣昌盛、行业不断发展，以及竞争对手的鞭策。未来亦将以行动更好回馈社会、投资者，更好服务客户，更尊重竞争对手，更多关爱每一位员工及家属。这，是思特奇不变的情怀，情怀不灭。我们勇敢不等待我们需要时代的战士，与我们共享同一个荣耀之名――思特奇人；我们需要坚守者，与我们见证思特奇的基业长青。你可以选择一次勇敢者的前行，抹去人生字典里的“等待”，命运紧握自己掌心：因这里拥有一群你的知音（思特奇人）；因这里有多元化的青春世界（论坛、合家欢、春游、俱乐部、赛事活动... ...）因这里有缤纷福利（带薪年假、n多贺礼、弹性考勤... ...）因这里让梦想真正不是“梦”和“想”（完善的培训、晋升体系）... ...附：【总公司】北京思特奇信息技术股份有限公司（股票代码：300608）办公地：北京【分子公司】1、四川思特奇信息技术有限公司办公地：四川、广西、云南、青海、宁夏、重庆2、哈尔滨易位科技有限公司办公地：黑龙江、吉林、辽宁、内蒙古3、太原思特奇信息技术有限责任公司办公地：山西、陕西、新疆、天津4、上海翔盛悦信息技术有限公司办公地：上海、安徽、江苏、浙江、湖北、湖南、江西、山东、广东、深港、福建5、重庆思特奇信息技术有限公司办公地：重庆6、北京易信掌中云科技有限公司办公地：北京"
1,Java高级开发工程师,哈尔滨鸿德亦泰数码科技有限责任公司,哈尔滨-南岗区,6-8千/月,04-21,  5-7年经验  ,  本科  ,"职位信息


1、具有多年java开发经验， 熟悉ssh ,spring，mybatis 框架及其原理2、有优秀的数据库设计和优化能力，熟练应用oracle和sql server3、熟悉相关的技术原理、规范、标准，热爱技术、具备快速学习的能力4、熟练使用html5，xml，json，css，javascript，jquery等前端技术；5、 有团队精神，有足够的沟通意识、能力，能承受一定的工作压力优先条件：1.  了解redis,memcache、mongodb 等缓存系统优先2.  有处理高并发数据经验优先3.  有高并发、大流量系统开发经验者优先。4.  1年以上多线程开发经验


职能类别：

										高级软件工程师									

										算法工程师									



微信分享







联系方式



上班地址：汉水路277号							
地图





公司信息


						鸿德亦泰数码科技有限责任公司成立于一九九八年一月十九日，公司崇尚典雅的儒家文化，以“德而润和自身，鸿则兼惠天下”为宗旨。以人为本，实行人性化的管理方式，多方招贤纳才，用人不拘一格，唯才是用。公司主动把握用户需求，始终坚持“专注行业 随需而动”。经过多年的积累，立足研发，专致于为行业客户提供高品质应用软件和服务，其自主知识产权的软件产品已在水利、农业、劳动保障、通信等行业广泛推广应用。地址：哈尔滨市南岗区汉水路277号（汉水路与嵩山路交口处）中融国际大厦13层a座电话：0451-87005980、87005981"
2,Java开发工程师,信雅达系统工程股份有限公司,哈尔滨-道里区,0.6-1.1万/月,04-21,  2年经验  ,  本科  ,"职位信息


1、开发经验1-2年或以上，精通java语言，熟练使用编程工具jbuider或myeclipse。 2、熟悉html, css, javascript。有web前台开发经验，对javascript前台开发有深入理解。 3、熟悉j2ee相关技术，最好有用过spring、struts、hibernate、ibatis相关经验。 4、精通sql，熟悉oracle/mysql/db2关系数据库中的一种。 5、熟练使用和配置一种或一种以上的主流应用服务器（weblogic,websphere,tomcat)。


职能类别：

										软件工程师									



微信分享







联系方式



上班地址：道里区友谊路436号-龙江银行							
地图





公司信息


						信雅达系统工程股份有限公司（下称“信雅达”或“公司”）是中国较早在上海证券交易所上市（股票代码：600571）的高科技软件企业，系国家计算机信息系统集成一级资质企业、国家规划布局内重点软件企业、全国20家优秀系统集成企业之一、国家火炬计划重点高新技术企业、“十五”国家863计划成果产业化基地之一、中国软件业百强企业、“中国软件欧美出口工程 ”试点企业（软件外包型a类）、是经国家密码管理委员会批准的商用密码产品生产定点单位。目前，信雅达在北京、上海、深圳、武汉等主要大中城市设有二十一家办事处和十五家控股子公司，并在美国、印度、日本等国家设立了分支机构。公司设有省级企业技术中心、博士后工作站，持续开展技术创新与研究。公司一直致力于自主产权软件的开发和应用服务，产品在中国人民银行、中国工商银行、中国农业银行、中国银行、中国建设银行、交通银行、中国银联商务总部、城市商业银行、中信实业银行等银行总行及数百家地、市级以上分支机构、证券、保险、税务、工商、交通、教育、司法、石油、电力等行业和政府部门获得广泛应用，并出口美国、德国、新西兰等三十多个国家，市场占有率全国领先。经过多年积累，公司在电子文档影像、电子商务、信息安全等领域日益突显自身的核心技术优势，形成了具有自主知识产权的密码算法、数字水印、ocr、图像处理、工作流、影像扫描等核心技术。公司获得十八项国家专利、四项科技进步奖、两项国家863计划、四个国家重点新产品、八项***火炬计划项目，拥有七十多项自主知识产权的软件著作权。展望未来，基于it产业的新形势，公司将围绕产品化、专业化、全球化、规模化的经营战略，谋求稳健、快速、持续的发展，与广大用户、合作伙伴、投资者和业界朋友们、同仁们携手奋进，竭尽全力，力争通过3-5年的努力，成为国内数一数二的品牌！纳百川，共发展；信雅达诚邀您的加盟，合作开拓新的事业!地址：杭州市滨江区江南大道3888号信雅达科技大厦（可乘坐197到伟业路北下车； b支5、315到联庄下车； b支3到彩虹城下车即可）"
3,JAVA高级开发（JAVA高级程序）,黑龙江银多网络信息技术有限公司,哈尔滨,0.7-1.3万/月,04-21,  无工作经验  ,  招5人  ,"职位信息


职位要求：1.  3年以上javaee开发经验2.  熟练使用eclipse等ide工具3.  熟悉ssh ,spring，mybatis 框架及其原理，阅读过源码4.  熟练使用mysql数据库，有优秀的数据库设计和优化能力5.  熟练使用git,svn等版本管理工具6.  熟练使用linux系统，熟悉常用操作命令，能在linux环境中部署和运行程序7.  熟悉相关的技术原理、规范、标准，热爱技术、喜欢研究底层8.  有团队精神，有足够的沟通意识、能力，能承受一定的工作压力 职位描述：1.    银多网后台系统功能开发2.    银多网移动接口开发3.    数据处理中间件开发  优先条件1.  了解redis,memcache、mongodb 等缓存系统优先2.  有处理高并发数据经验优先3.  1年以上多线程开发经验4.  有基于分布式系统的java程序开发经验5.   有大数据开发经验6.  有高并发、大流量系统开发经验者优先。7.  了解国内外常用开源产品/项目,有相应工作成果


职能类别：

										高级软件工程师									



微信分享







联系方式



上班地址：南岗区嵩山路182号							
地图





公司信息


						黑龙江银多网络信息技术有限公司成立于2014年9月，注册 资本1.689亿元人民币。公司主营业务互联网金融平台银多网于2014年10月上线运营，依托行业发展与政策指引，立足普惠金融、合规运营，以优质金融你我共享为使命，凭借先进的信息技术水平、专业的大数据分析能力、严格的审核程序和完善的风险管控系统，为有投融资需求的用户搭建稳健合规、高效便捷的信息中介服务平台。截至目前，平台前后已完成5轮融资。实现经济责任、社会责任的动态平衡，以互联网模式拓展家乡实业发展，为黑龙江省的发展带来积极的经济和社会效益。在四年多的发展过程中，银多网对标北上广一线城市互联网公司，在不断的变革中发展成熟，发展至现在超过200人团队，银多网的经营团队由来自全球500强的管理精英，和著名律师事务所的持牌律师，以及全球性交易市场创办人等金融及法律界资深人士组成。截止2018年11月，银多网共进入7次***行业评级/排名"
4,Java开发工程师-智能数据,北京神州泰岳软件股份有限公司,哈尔滨,0.6-1.2万/月,04-21,  2年经验  ,  本科  ,"职位信息


岗位职责：1、负责web平台开发。2、按期完成主管安排的编码任务。3、编写部署文档、设计文档、测试文档、说明文档等。任职资格：1、三年左右java开发工作经验；2、熟练使用主流开发框架；         3、熟练使用html5，xml，json，css，javascript，jquery等前端技术；4、熟练使用oracle、mysql等关系型数据库，有良好的sql语言基础；5、熟悉hadoop、hive等大数据处理技术；6、有良好的代码习惯，有一定的需求分析能力和良好的沟通能力；7、掌握版本控制软件的使用svn、git等。8、熟练linux下编程开发，并有一定相关经验。


职能类别：

										软件工程师									

										高级软件工程师									



微信分享







联系方式



上班地址：哈尔滨							
地图





公司信息


						北京神州泰岳软件股份有限公司成立于2001年，是国内首批创业板上市公司（sz：300002），员工总人数逾四千人，净资产规模50亿元左右。神州泰岳是国内领先的综合类软件产品及服务提供商，着力于用信息技术手段推动行业发展和社会进步，提升人们工作和生活品质。自公司成立以来，始终以市场为导向，深耕细作、创新拓展，形成了以“ict运营管理”、“物联网与通讯技术应用”、“手机游戏”、“人工智能与大数据”为核心的相关多元化发展格局。ict运营管理，是通过提供软件和运营服务方式对ict基础设施、业务应用和运维体系进行全面统一管理，及时发现和解决故障，规范运维、运营服务，保障ict系统安全、稳定、可靠、高效地运行。经过十多年的积累，构建了齐全、丰富的产品线，长期服务于电信、金融、能源、交通等行业的大中型企业和政府机关，取得了自2012年起市场持续排名第一的成绩。物联网与通讯技术应用，公司进行了持续的战略投入，在物联网芯片、通信协议、核心算法、数据分析加工平台等方面取得了突破性进展，形成了“封闭空间和低功耗要求特殊环境下的无线通信及定位”和“全地形全天候高准确度的周界安防”两大解决方案，在核电、铁路、军工、石油石化、地下管廊、矿山等领域具有良好应用前景。手机游戏，公司已形成了覆盖研发、渠道、发行和投资孵化的手机游戏生态产业链，业务遍及美国、英国、加拿大、新加坡等多个国家和地区，聚焦精品游戏的开发与发行。人工智能与大数据，神州泰岳基于多年智能生产生活技术、信息化数据及技术积累所形成的创新业务之一。人工智能方面，公司在智能语义分析、智能人机交互、智能机器自学习等领域形成了丰富产品并在行业中得到应用和好评。大数据方面在技术平台、数据积累、数据分析和价值应用等领域具备了应用推广能力。人工智能与大数据将在未来各个领域发挥作用，极具商业价值和市场前景。展望未来，神州泰岳将继续秉承“居利思义、身劳心安、人强我强、共同发展”的核心价值观和专注专业精神，基于全球化视野科学地制定发展战略，坚持持续不断的技术创新，积极研发前瞻性产品体系和服务模式，内生和外延并举，强化企业治理，打造企业团队、客户、合作伙伴、股东多方共赢的生态圈，确保公司长期稳定发展。公司网址：www.ultrapower.com.cn"
5,Java讲师,河北天星软件科技有限公司,哈尔滨,6-8千/月,04-21,  2年经验  ,  大专  ,"职位信息


岗位职责：1、主要负责java课程培训工作授课、学员辅导工作；2、根据教学安排进行项目实训；3、参与教学项目案例研发工作。任职要求：1、一年以上企业级软件开发经验；2、拥有良好java编程风格和面向对象开发思想；3、熟练使用jsp、servlet、javabean；4、熟练使用html、css、javascript、jquery进行前端开发；5、熟练使用struts2、spring、hibernate、mybatis框架进行项目开发；6、熟练使用oracle和mysql 数据库。工作地址：哈尔滨旅游职业技术学院                 双鸭山黑煤职院联系人：鲍老师   15765583962


职能类别：

										软件工程师									

										互联网软件开发工程师									


关键字：
讲师
教师
软件工程师



微信分享







联系方式



上班地址：哈尔滨旅游职业技术学院							
地图





公司信息


						衡水培训中心，具备社会力量办学资质，衡水市相关教育和劳动部门许可的it职业教育培训学校，是河北省以及众多的人才合作企业对成熟技能型人才需求,斥巨资创建的专业人才重点培训基地。    教育改变生活！为您创造价值！"
6,IT工程师技术员Java，PHP，c#等,湖北一片语科技有限公司,异地招聘,1.2-4万/月,04-21,  无工作经验  ,  本科  ,"职位信息


1、负责产品开发；2、负责指导、处理、协调和解决项目中出现的技术问题；公司背景：it日企集团开发��目：金融 �y行 保�u �c券（大手客�粝冗m��目）相关岗位要求：1. 要求本科及以上学历，计算机相关专业或者有计算机相关证书，大专要毕业10年以上。刚开始不会日语可以，但之后要学习。2. 1年以上it开发或咨询相关工作经验（编程能力强可放宽），开发语言包含： java、 sap、abap、c＃、c/c++、php、.net、cobol 、intra-mart、salesforce、ios、android、ai、、ebs、dynamics等等地 �c： 日企月 薪： 20---70万日元以上（��能力优待）20万日元相当于1.2万人民币


职能类别：

										软件工程师									

										系统工程师									


关键字：
日企
it
编程
开发
java
php
abap
工程师
技术员



微信分享







联系方式



上班地址：湖北一片语科技有限公司							





公司信息


						计算机软硬件开发及相关技术信息咨询服务，劳务信息咨询，广告设计、制作、发布"
7,Java讲师,哈尔滨布卡网络科技有限公司,哈尔滨-南岗区,0.8-1万/月,04-20,  3-4年经验  ,  大专  ,"职位信息


1、主要负责java相关课程培训、课程教案编写以及课件开发工作；2、根据教学安排进行备课，完善授课视频等资料，积极主动完成课程教学、辅导工作；3、带领实训学生按照项目规范项目开发流程进行项目开发任职要求： 1、具有2年或以上项目开发经验，有教学经验者优先；2、专科以上学历，热爱教育事业；3、熟悉java语言，能够使用java技术实现b/s网站制作技术；4、精通sqlserver、oracle、mysql数据库其中一个；5、熟练linux操作系统，熟练掌握linux下的开发环境；6、熟悉主流行框架技术springmvc、spring、hibernate、struts2、mybatis框架开发，并具备实际的项目开发经验；6、熟悉maven、svn、git、hadoop。


职能类别：

										培训讲师									

										职业技术教师									


关键字：
java讲师
java老师



微信分享







联系方式



上班地址：南岗区嘉和理工小区8号楼1单元101室							
地图





公司信息


						哈尔滨布卡网络科技有限公司，专门致力于互联网产品研发，拥有自主研发运营产品【天天有课】（各大应用商店店均可下载）。【天天有课】是针对k12课外补习应用，面向小初高家长用户，为其提供最专业的教学服务，同时为更多的教师提供不断的生源。我们的目标：做最专业的教育服务平台我们的宗旨：提供最优质的教育服务"
8,Java软件工程师,中讯志远（武汉）科技有限公司,哈尔滨,0.8-1万/月,04-20,  3-4年经验  ,  招若干人  ,"职位信息


						java开发工程师岗位职责： 1、根据开发进度和任务分配，完成软件架构设计及编程任务； 2、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量； 3、进行编制项目文档和质量记录的工作； 4、维护软件，使之保持可用性和稳定性； 5、能独立处理和解决所负责的任务。 任职要求： 1、大专及以上学历，3年以上java软件项目开发经验； 2、精通java语言，j2ee技术知识及主流框架技术；包括：spring、hibernate、mybaits、freemarker等；3、掌握图形框架fusioncharts、jfreechart或其他框架，能基于图形框架进行二次开发；4、熟练掌握oracle、mysql数据库应用，部署、调优； 5、学习能力强，责任心强，有较强的沟通协调能力。 


职能类别：

										软件工程师									


关键字：
周末双休
带薪年假
年终双薪
奖金丰厚
节日福利
人才推荐奖



微信分享







联系方式



上班地址：哈尔滨市							
地图





公司信息


						中讯志远(武汉)科技有限公司,注册资本500万，国家高新技术企业，主要致力于软件研发，企业应用软件开发,网站建设、网站推广、软件开发、国际互联网，app，企业应用软件开发，云计算，云存储,电子设备研发等领域的开发、制造与销售，是湖北省内知名的it企业,目前总部在武汉，北京，南京，上海，福州，广州，深圳等10多个城市拥有专业的软件研发人才。本公司自成立以来一直秉承“为客户创造价值”的经营理念，以卓越的网络服务品质、专业的技术服务实力、职业的客户服务团队为客户提供至臻完美的服务，又以稳固与发展、求实与创新的精神，尊重人才、注重技术，使用户在享受信息科技发展最新成果的同时不断获得最大的收益。我们拥有专业的市场团队，设计团队，研发团队以对于品牌目标消费群和对市场的准确把握，以独到的审美手法创造令您满意的作品；“夫欲工其事，必先利其器”为设计创作提供可靠的技术保证，为完美地再现设计理念提供必要保障。经营之道，犹如做人，我们看重的不在于一事一物上的利益得失，而是与客户的合作过程。呕心沥血地创作，精心地对待每一个项目。在您的飞速发展之路上与您相伴，以您的成功作为我们最大的成功，以您的欢乐作为我们最彻心的欢乐。我们更看重并珍惜在合作过程中与客户的友谊。做网络，交朋友，我们期待着与有您在内的广大客户合作，我们珍视与您相处的每个日子。“路漫漫其修远兮，吾将上下而求索”，于人如是，于企业亦如是。不历经风雨，无以见彩虹，我们不给自己设定终点，但我们坚信我们会走向成功，我们不讳言我们的稚嫩，但无论如何都改变不了我们在拼搏中前进的脚步"
9,Java开发工程师,哈尔滨万线科技开发有限公司,哈尔滨-南岗区,0.6-1万/月,04-20,  2年经验  ,  大专  ,"职位信息


1、本科及以上学历，计算机相关专业2、具有扎实的java语言基础，熟悉jsp/servlet、javascript、ajax、jquery等web开发基础技术3、熟练使用spring、spring mvc、mybatis或ibatis框架4、熟练掌握db2、oracle、sqlserver等主流数据库的相关技术5、熟悉windows/linux开发环境。熟悉tomcat等服务器6、两年以上工作经验7、有springcloud、jpa、vue.js开发经验优先8、有使用idea开发经验者优先9、有activiti等工作流框架开发经验者优先早八晚五，双休，法定假日，带薪年假，免费午餐，节日福利


职能类别：

										软件工程师									


关键字：
开发工程师
java



微信分享







联系方式



上班地址：哈平路132号							
地图





公司信息


						哈尔滨万线科技开发有限公司，致力于互联网产品、企业应用、行业软件、微信应用等it解决方案的研发和技术服务，立足于传统行业项目进行产业再造升级，真正实现互联网+ 。诚邀精英加盟！"
